[-120.0, 0.0, -65, -55, -52, -39, -49, -52]
[-120.0, 0.0, -64, -54, -54, -39, -50, -55]
[-120.0, 0.0, -59, -56, -54, -40, -48, -55]
[-120.0, 0.0, -61, -63, -53, -40, -47, -45]
[-120.0, 0.0, -61, -62, -53, -39, -52, -43]
[-120.0, 0.0, -60, -58, -53, -39, -46, -44]
[-120.0, 0.0, -60, -57, -52, -40, -47, -48]
[-120.0, 0.0, -61, -58, -52, -41, -49, -47]
[-120.0, 0.0, -67, -58, -53, -40, -48, -49]
[-120.0, 0.0, -64, -58, -52, -40, -46, -47]
[-120.0, 0.0, -61, -64, -51, -40, -47, -47]
[-120.0, 0.0, -63, -57, -50, -40, -46, -48]
[-120.0, 0.0, -63, -58, -50, -42, -46, -48]
[-120.0, 0.0, -64, -59, -49, -43, -45, -48]
[-120.0, 0.0, -64, -58, -49, -41, -48, -47]
[-120.0, 0.0, -62, -59, -51, -40, -47, -48]
[-120.0, 0.0, -59, -56, -52, -39, -47, -50]
[-120.0, 0.0, -60, -60, -52, -41, -50, -50]
[-120.0, 0.0, -61, -60, -52, -39, -49, -49]
[-120.0, 0.0, -59, -61, -52, -39, -46, -47]
[-120.0, 0.0, -62, -62, -51, -39, -48, -48]
[-120.0, 0.0, -62, -61, -51, -39, -45, -50]
[-120.0, 0.0, -65, -60, -51, -40, -49, -47]
[-120.0, 0.0, -67, -60, -51, -39, -48, -48]
[-120.0, 0.0, -67, -58, -50, -39, -47, -47]
[-120.0, 0.0, -71, -62, -57, -55, -50, -37]
[-120.0, 0.0, -69, -62, -57, -54, -51, -37]
[-120.0, 0.0, -67, -61, -57, -54, -51, -37]
[-120.0, 0.0, -69, -65, -56, -53, -52, -38]
[-120.0, 0.0, -67, -61, -57, -53, -55, -38]
[-120.0, 0.0, -69, -62, -53, -52, -57, -37]
[-120.0, 0.0, -67, -64, -51, -52, -57, -37]
[-120.0, 0.0, -68, -64, -53, -51, -57, -37]
[-120.0, 0.0, -66, -63, -53, -55, -55, -38]
[-120.0, 0.0, -63, -61, -53, -54, -54, -35]
[-120.0, 0.0, -62, -60, -52, -54, -51, -36]
[-120.0, 0.0, -65, -61, -53, -53, -54, -38]
[-120.0, 0.0, -63, -63, -54, -53, -53, -35]
[-120.0, 0.0, -64, -62, -55, -54, -54, -37]
[-120.0, 0.0, -67, -64, -54, -54, -57, -37]
[-120.0, 0.0, -68, -64, -54, -55, -57, -38]
[-120.0, 0.0, -68, -64, -54, -55, -57, -37]
[-120.0, 0.0, -66, -67, -54, -56, -52, -36]
[-120.0, 0.0, -68, -68, -55, -58, -54, -35]
[-120.0, 0.0, -67, -65, -54, -55, -51, -34]
[-120.0, 0.0, -67, -64, -51, -55, -56, -37]
[-120.0, 0.0, -68, -64, -54, -56, -54, -35]
[-120.0, 0.0, -67, -64, -53, -54, -59, -38]
[-120.0, 0.0, -71, -66, -55, -57, -56, -36]
[-120.0, 0.0, -67, -68, -56, -56, -53, -34]
[-120.0, 0.0, -57, -77, -64, -51, -52, -44]
[-120.0, 0.0, -58, -70, -63, -51, -50, -44]
[-120.0, 0.0, -59, -74, -64, -50, -51, -43]
[-120.0, 0.0, -58, -77, -64, -50, -51, -43]
[-120.0, 0.0, -58, -70, -64, -51, -49, -42]
[-120.0, 0.0, -63, -68, -66, -56, -46, -44]
[-120.0, 0.0, -64, -66, -61, -56, -47, -44]
[-120.0, 0.0, -65, -69, -60, -56, -48, -44]
[-120.0, 0.0, -66, -71, -60, -55, -48, -44]
[-120.0, 0.0, -70, -70, -59, -57, -48, -44]
[-120.0, 0.0, -66, -70, -60, -67, -49, -52]
[-120.0, 0.0, -65, -69, -60, -59, -45, -46]
[-120.0, 0.0, -65, -68, -61, -56, -47, -44]
[-120.0, 0.0, -66, -70, -61, -59, -47, -44]
[-120.0, 0.0, -64, -69, -62, -56, -48, -44]
